caseid,respondentid,houseviewed,option,fireplaces,bedrooms,preference,averagecostpersquarefootcomparisons,cashprice
3977,89,6,B,no,4 bedroom,0,110,420000
3978,89,6,C,no,3 bedroom,1,100,470000
3979,89,7,A,no,4 bedroom,0,100,370000
3980,89,7,B,no,2 bedroom,0,110,370000
3981,89,7,C,no,3 bedroom,1,110,420000
3982,89,8,A,no,4 bedroom,0,110,470000
3983,89,8,B,no,3 bedroom,1,90,370000
3984,89,8,C,no,2 bedroom,0,90,420000
3985,89,9,A,no,2 bedroom,0,110,370000
3986,89,9,B,no,2 bedroom,0,100,470000
3987,89,9,C,no,3 bedroom,1,90,420000
3988,89,10,A,no,2 bedroom,1,110,420000
3989,89,10,B,no,4 bedroom,0,110,420000
3990,89,10,C,no,4 bedroom,0,90,420000
3991,89,11,A,no,3 bedroom,1,100,420000
3992,89,11,B,no,4 bedroom,0,90,470000
3993,89,11,C,no,2 bedroom,0,110,470000
3994,89,12,A,no,3 bedroom,1,90,370000
3995,89,12,B,no,2 bedroom,0,100,370000
3996,89,12,C,no,4 bedroom,0,110,370000
3997,89,13,A,no,2 bedroom,1,100,420000
3998,89,13,B,no,4 bedroom,0,110,470000
3999,89,13,C,no,4 bedroom,0,100,420000
4000,89,14,A,no,4 bedroom,0,90,470000
4001,89,14,B,no,3 bedroom,1,100,370000
4002,89,14,C,no,4 bedroom,0,100,370000
4003,89,15,A,no,3 bedroom,0,110,420000
4004,89,15,B,no,2 bedroom,1,90,470000
4005,89,15,C,no,4 bedroom,0,100,420000
4006,90,1,A,no,2 bedroom,0,110,470000
4007,90,1,B,no,3 bedroom,0,110,370000
4008,90,1,C,no,4 bedroom,1,90,370000
4009,90,2,A,no,3 bedroom,0,100,470000
4010,90,2,B,no,2 bedroom,0,90,370000
4011,90,2,C,no,2 bedroom,1,90,420000
4012,90,3,A,no,3 bedroom,0,90,420000
4013,90,3,B,no,4 bedroom,1,110,370000
4014,90,3,C,no,4 bedroom,0,100,370000
4015,90,4,A,no,2 bedroom,0,90,470000
4016,90,4,B,no,3 bedroom,1,110,470000
4017,90,4,C,no,2 bedroom,0,110,470000
4018,90,5,A,no,3 bedroom,1,90,370000
4019,90,5,B,no,4 bedroom,0,100,470000
4020,90,5,C,no,3 bedroom,0,90,470000
4021,90,6,A,no,4 bedroom,0,100,470000
4022,90,6,B,no,4 bedroom,0,90,470000
4023,90,6,C,no,3 bedroom,1,90,470000
4024,90,7,A,no,4 bedroom,1,100,370000
4025,90,7,B,no,4 bedroom,0,90,470000
4026,90,7,C,no,2 bedroom,0,100,370000
4027,90,8,A,no,3 bedroom,1,110,370000
4028,90,8,B,no,4 bedroom,0,90,370000
4029,90,8,C,no,3 bedroom,0,90,370000
4030,90,9,A,no,2 bedroom,0,110,370000
4031,90,9,B,no,2 bedroom,0,100,470000
4032,90,9,C,no,3 bedroom,1,110,420000
4033,90,10,A,no,3 bedroom,1,100,420000
4034,90,10,B,no,3 bedroom,0,100,420000
4035,90,10,C,no,2 bedroom,0,90,420000
4036,90,11,A,no,3 bedroom,0,100,370000
4037,90,11,B,no,3 bedroom,1,110,420000
4038,90,11,C,no,2 bedroom,0,90,370000
4039,90,12,A,no,4 bedroom,0,90,420000
4040,90,12,B,no,4 bedroom,1,110,420000
4041,90,12,C,no,2 bedroom,0,110,370000
4042,90,13,A,no,4 bedroom,0,90,420000
4043,90,13,B,no,2 bedroom,1,100,370000
4044,90,13,C,no,2 bedroom,0,110,420000
4045,90,14,A,no,4 bedroom,0,110,470000
4046,90,14,B,no,4 bedroom,1,100,420000
4047,90,14,C,no,4 bedroom,0,100,420000
4048,90,15,A,no,4 bedroom,0,110,370000
4049,90,15,B,no,3 bedroom,1,100,470000
4050,90,15,C,no,3 bedroom,0,100,370000
4051,91,1,A,yes,3 bedroom,1,90,370000
4052,91,1,B,yes,4 bedroom,0,100,420000
4053,91,1,C,yes,3 bedroom,0,100,470000
4054,91,2,A,yes,4 bedroom,0,110,470000
4055,91,2,B,yes,4 bedroom,0,100,420000
4056,91,2,C,yes,3 bedroom,1,90,370000
4057,91,3,A,yes,2 bedroom,0,110,420000
4058,91,3,B,yes,4 bedroom,1,110,420000
4059,91,3,C,yes,3 bedroom,0,110,370000
4060,91,4,A,yes,2 bedroom,0,110,370000
4061,91,4,B,yes,3 bedroom,0,100,470000
4062,91,4,C,yes,2 bedroom,1,100,370000
4063,91,5,A,yes,2 bedroom,0,110,470000
4064,91,5,B,yes,4 bedroom,0,100,370000
4065,91,5,C,yes,3 bedroom,1,100,370000
4066,91,6,A,yes,2 bedroom,0,110,420000
4067,91,6,B,yes,4 bedroom,0,90,370000
4068,91,6,C,yes,2 bedroom,1,90,370000
4069,91,7,A,yes,3 bedroom,1,100,420000
4070,91,7,B,yes,3 bedroom,0,110,470000
4071,91,7,C,yes,2 bedroom,0,90,470000
4072,91,8,A,yes,3 bedroom,1,100,370000
4073,91,8,B,yes,2 bedroom,0,100,420000
4074,91,8,C,yes,4 bedroom,0,100,370000
4075,91,9,A,yes,4 bedroom,0,90,420000
4076,91,9,B,yes,2 bedroom,1,100,470000
4077,91,9,C,yes,4 bedroom,0,90,470000
4078,91,10,A,yes,2 bedroom,1,90,420000
4079,91,10,B,yes,3 bedroom,0,100,420000
4080,91,10,C,yes,3 bedroom,0,90,470000
4081,91,11,A,yes,4 bedroom,0,90,370000
4082,91,11,B,yes,2 bedroom,0,90,470000
4083,91,11,C,yes,2 bedroom,1,110,370000
4084,91,12,A,yes,3 bedroom,0,90,420000
4085,91,12,B,yes,2 bedroom,1,100,420000
4086,91,12,C,yes,2 bedroom,0,110,470000
4087,91,13,A,yes,3 bedroom,1,110,420000
4088,91,13,B,yes,4 bedroom,0,110,420000
4089,91,13,C,yes,4 bedroom,0,110,370000
4090,91,14,A,yes,4 bedroom,0,110,470000
4091,91,14,B,yes,4 bedroom,1,90,420000
4092,91,14,C,yes,3 bedroom,0,90,470000
4093,91,15,A,yes,3 bedroom,0,110,370000
4094,91,15,B,yes,3 bedroom,1,90,420000
4095,91,15,C,yes,4 bedroom,0,100,470000
4096,92,1,A,no,4 bedroom,0,110,370000
4097,92,1,B,no,2 bedroom,0,110,470000
4098,92,1,C,no,3 bedroom,1,110,470000
4099,92,2,A,no,3 bedroom,1,90,420000
4100,92,2,B,no,4 bedroom,0,90,370000
4101,92,2,C,no,4 bedroom,0,90,470000
4102,92,3,A,no,3 bedroom,1,90,370000
4103,92,3,B,no,2 bedroom,0,90,370000
4104,92,3,C,no,4 bedroom,0,100,370000
4105,92,4,A,no,2 bedroom,0,90,470000
4106,92,4,B,no,4 bedroom,0,100,420000
4107,92,4,C,no,3 bedroom,1,90,420000
4108,92,5,A,no,2 bedroom,0,90,370000
4109,92,5,B,no,2 bedroom,1,110,370000
4110,92,5,C,no,2 bedroom,0,110,420000
4111,92,6,A,no,4 bedroom,1,110,370000
4112,92,6,B,no,4 bedroom,0,100,370000
4113,92,6,C,no,3 bedroom,0,110,420000
4114,92,7,A,no,2 bedroom,0,110,370000
4115,92,7,B,no,3 bedroom,0,100,370000
4116,92,7,C,no,3 bedroom,1,90,370000
4117,92,8,A,no,2 bedroom,0,110,470000
4118,92,8,B,no,4 bedroom,1,90,420000
4119,92,8,C,no,2 bedroom,0,100,470000
4120,92,9,A,no,2 bedroom,1,100,420000
4121,92,9,B,no,3 bedroom,0,110,470000
4122,92,9,C,no,4 bedroom,0,90,470000
4123,92,10,A,no,3 bedroom,0,110,370000
4124,92,10,B,no,4 bedroom,0,90,370000
4125,92,10,C,no,3 bedroom,1,100,420000
4126,92,11,A,no,3 bedroom,0,100,370000
4127,92,11,B,no,2 bedroom,1,90,420000
4128,92,11,C,no,2 bedroom,0,100,420000
4129,92,12,A,no,3 bedroom,0,100,470000
4130,92,12,B,no,3 bedroom,1,110,420000
4131,92,12,C,no,2 bedroom,0,90,470000
4132,92,13,A,no,4 bedroom,0,100,470000
4133,92,13,B,no,2 bedroom,0,100,370000
4134,92,13,C,no,3 bedroom,1,100,420000
4135,92,14,A,no,4 bedroom,0,100,420000
4136,92,14,B,no,2 bedroom,0,100,370000
4137,92,14,C,no,3 bedroom,1,110,370000
4138,92,15,A,no,3 bedroom,0,100,470000
4139,92,15,B,no,4 bedroom,0,110,470000
4140,92,15,C,no,3 bedroom,1,90,470000
4141,93,1,A,no,2 bedroom,1,110,370000
4142,93,1,B,no,4 bedroom,0,110,420000
4143,93,1,C,no,4 bedroom,0,90,470000
4144,93,2,A,no,3 bedroom,0,100,470000
4145,93,2,B,no,2 bedroom,0,100,420000
4146,93,2,C,no,4 bedroom,1,90,420000
4147,93,3,A,no,3 bedroom,1,100,370000
4148,93,3,B,no,2 bedroom,0,100,470000
4149,93,3,C,no,4 bedroom,0,90,370000
4150,93,4,A,no,2 bedroom,0,90,420000
4151,93,4,B,no,2 bedroom,1,90,420000
4152,93,4,C,no,4 bedroom,0,100,370000
4153,93,5,A,no,4 bedroom,0,110,370000
4154,93,5,B,no,2 bedroom,0,100,420000
4155,93,5,C,no,3 bedroom,1,90,370000
4156,93,6,A,no,4 bedroom,0,90,370000
4157,93,6,B,no,3 bedroom,0,110,420000
4158,93,6,C,no,3 bedroom,1,100,370000
4159,93,7,A,no,2 bedroom,0,90,470000
4160,93,7,B,no,3 bedroom,1,110,420000
4161,93,7,C,no,3 bedroom,0,110,370000
4162,93,8,A,no,3 bedroom,0,110,470000
4163,93,8,B,no,3 bedroom,0,90,370000
4164,93,8,C,no,3 bedroom,1,90,420000
4165,93,9,A,no,4 bedroom,0,90,470000
4166,93,9,B,no,2 bedroom,1,90,370000
4167,93,9,C,no,3 bedroom,0,100,470000
4168,93,10,A,no,4 bedroom,1,100,370000
4169,93,10,B,no,3 bedroom,0,90,470000
4170,93,10,C,no,2 bedroom,0,110,470000
4171,93,11,A,no,4 bedroom,1,110,420000
4172,93,11,B,no,2 bedroom,0,110,470000
4173,93,11,C,no,2 bedroom,0,100,370000
4174,93,12,A,no,3 bedroom,0,100,420000
4175,93,12,B,no,4 bedroom,0,110,470000
4176,93,12,C,no,2 bedroom,1,110,420000
4177,93,13,A,no,4 bedroom,0,110,370000
4178,93,13,B,no,3 bedroom,1,90,420000
4179,93,13,C,no,2 bedroom,0,90,470000
4180,93,14,A,no,2 bedroom,0,90,370000
4181,93,14,B,no,3 bedroom,1,110,370000
4182,93,14,C,no,4 bedroom,0,110,470000
4183,93,15,A,no,4 bedroom,0,100,420000
4184,93,15,B,no,3 bedroom,1,90,470000
4185,93,15,C,no,4 bedroom,0,100,470000
4186,94,1,A,no,3 bedroom,1,90,370000
4187,94,1,B,no,3 bedroom,0,110,370000
4188,94,1,C,no,2 bedroom,0,90,420000
4189,94,2,A,no,3 bedroom,0,90,370000
4190,94,2,B,no,2 bedroom,1,100,470000
4191,94,2,C,no,2 bedroom,0,110,420000
4192,94,3,A,no,2 bedroom,1,100,420000
4193,94,3,B,no,3 bedroom,0,100,370000
4194,94,3,C,no,4 bedroom,0,100,370000
4195,94,4,A,no,3 bedroom,0,90,470000
4196,94,4,B,no,2 bedroom,1,90,370000
4197,94,4,C,no,4 bedroom,0,110,420000
4198,94,5,A,no,3 bedroom,0,110,370000
4199,94,5,B,no,3 bedroom,0,110,420000
4200,94,5,C,no,3 bedroom,1,90,420000
4201,94,6,A,no,4 bedroom,0,90,370000
4202,94,6,B,no,3 bedroom,0,100,420000
4203,94,6,C,no,4 bedroom,1,110,370000
4204,94,7,A,no,2 bedroom,0,90,470000
4205,94,7,B,no,2 bedroom,1,90,470000
4206,94,7,C,no,4 bedroom,0,100,370000
4207,94,8,A,no,2 bedroom,1,90,370000
4208,94,8,B,no,3 bedroom,0,110,470000
4209,94,8,C,no,4 bedroom,0,110,470000
4210,94,9,A,no,2 bedroom,0,100,370000
4211,94,9,B,no,4 bedroom,0,90,470000
4212,94,9,C,no,4 bedroom,1,90,370000
4213,94,10,A,no,2 bedroom,0,100,420000
4214,94,10,B,no,4 bedroom,0,100,420000
4215,94,10,C,no,4 bedroom,1,100,420000
4216,94,11,A,no,2 bedroom,0,100,470000
4217,94,11,B,no,4 bedroom,0,110,420000
4218,94,11,C,no,3 bedroom,1,90,420000
4219,94,12,A,no,4 bedroom,0,90,470000
4220,94,12,B,no,4 bedroom,0,110,470000
4221,94,12,C,no,3 bedroom,1,100,470000
4222,94,13,A,no,3 bedroom,0,100,370000
4223,94,13,B,no,4 bedroom,0,100,470000
4224,94,13,C,no,3 bedroom,1,90,470000
4225,94,14,A,no,4 bedroom,1,100,470000
4226,94,14,B,no,2 bedroom,0,110,470000
4227,94,14,C,no,2 bedroom,0,90,420000
4228,94,15,A,no,4 bedroom,0,90,420000
4229,94,15,B,no,3 bedroom,0,100,470000
4230,94,15,C,no,2 bedroom,1,100,370000
4231,95,1,A,no,4 bedroom,0,90,470000
4232,95,1,B,no,3 bedroom,0,110,370000
4233,95,1,C,no,3 bedroom,1,90,420000
4234,95,2,A,no,3 bedroom,0,110,370000
4235,95,2,B,no,2 bedroom,0,90,470000
4236,95,2,C,no,2 bedroom,1,90,370000
4237,95,3,A,no,2 bedroom,1,110,470000
4238,95,3,B,no,2 bedroom,0,100,470000
4239,95,3,C,no,4 bedroom,0,110,420000
4240,95,4,A,no,2 bedroom,0,110,420000
4241,95,4,B,no,3 bedroom,0,100,470000
4242,95,4,C,no,2 bedroom,1,90,470000
4243,95,5,A,no,4 bedroom,0,100,420000
4244,95,5,B,no,2 bedroom,1,90,370000
4245,95,5,C,no,3 bedroom,0,100,470000
4246,95,6,A,no,3 bedroom,1,90,420000
4247,95,6,B,no,2 bedroom,0,100,370000
4248,95,6,C,no,2 bedroom,0,110,470000
4249,95,7,A,no,2 bedroom,0,110,370000
4250,95,7,B,no,3 bedroom,0,90,470000
4251,95,7,C,no,3 bedroom,1,100,370000
4252,95,8,A,no,3 bedroom,1,110,420000
4253,95,8,B,no,3 bedroom,0,110,470000
4254,95,8,C,no,2 bedroom,0,100,370000
4255,95,9,A,no,4 bedroom,0,100,470000
4256,95,9,B,no,4 bedroom,1,100,370000
4257,95,9,C,no,4 bedroom,0,100,470000
4258,95,10,A,no,3 bedroom,0,100,420000
4259,95,10,B,no,3 bedroom,1,100,370000
4260,95,10,C,no,2 bedroom,0,110,420000
4261,95,11,A,no,2 bedroom,1,100,420000
4262,95,11,B,no,2 bedroom,0,110,370000
4263,95,11,C,no,2 bedroom,0,90,420000
4264,95,12,A,no,3 bedroom,0,100,420000
4265,95,12,B,no,3 bedroom,0,90,470000
4266,95,12,C,no,2 bedroom,1,90,420000
4267,95,13,A,no,4 bedroom,0,110,370000
4268,95,13,B,no,3 bedroom,0,110,420000
4269,95,13,C,no,4 bedroom,1,90,370000
4270,95,14,A,no,4 bedroom,0,100,420000
4271,95,14,B,no,4 bedroom,0,90,470000
4272,95,14,C,no,2 bedroom,1,100,420000
4273,95,15,A,no,3 bedroom,1,90,370000
4274,95,15,B,no,4 bedroom,0,90,420000
4275,95,15,C,no,3 bedroom,0,110,470000
4276,96,1,A,no,2 bedroom,0,110,420000
4277,96,1,B,no,4 bedroom,0,110,370000
4278,96,1,C,no,4 bedroom,1,90,370000
4279,96,2,A,no,2 bedroom,0,100,420000
4280,96,2,B,no,3 bedroom,1,100,370000
4281,96,2,C,no,3 bedroom,0,90,470000
4282,96,3,A,no,3 bedroom,1,90,420000
4283,96,3,B,no,3 bedroom,0,100,470000
4284,96,3,C,no,4 bedroom,0,90,470000
4285,96,4,A,no,3 bedroom,0,90,470000
4286,96,4,B,no,3 bedroom,1,100,370000
4287,96,4,C,no,3 bedroom,0,100,420000
4288,96,5,A,no,4 bedroom,0,90,470000
4289,96,5,B,no,3 bedroom,1,100,470000
4290,96,5,C,no,4 bedroom,0,100,420000
4291,96,6,A,no,2 bedroom,0,110,470000
4292,96,6,B,no,4 bedroom,0,110,420000
4293,96,6,C,no,3 bedroom,1,110,420000
4294,96,7,A,no,2 bedroom,1,90,420000
4295,96,7,B,no,3 bedroom,0,90,420000
4296,96,7,C,no,2 bedroom,0,110,370000
4297,96,8,A,no,2 bedroom,0,90,470000
4298,96,8,B,no,3 bedroom,0,100,420000
4299,96,8,C,no,3 bedroom,1,110,370000
4300,96,9,A,no,2 bedroom,0,110,470000
4301,96,9,B,no,2 bedroom,0,100,370000
4302,96,9,C,no,2 bedroom,1,90,370000
4303,96,10,A,no,2 bedroom,0,90,420000
4304,96,10,B,no,4 bedroom,0,100,470000
4305,96,10,C,no,4 bedroom,1,110,370000
4306,96,11,A,no,3 bedroom,0,110,420000
4307,96,11,B,no,4 bedroom,0,100,470000
4308,96,11,C,no,3 bedroom,1,110,370000
4309,96,12,A,no,2 bedroom,1,90,370000
4310,96,12,B,no,2 bedroom,0,100,470000
4311,96,12,C,no,2 bedroom,0,110,370000
4312,96,13,A,no,3 bedroom,1,110,470000
4313,96,13,B,no,2 bedroom,0,100,470000
4314,96,13,C,no,4 bedroom,0,110,470000
4315,96,14,A,no,4 bedroom,0,110,420000
4316,96,14,B,no,4 bedroom,0,90,420000
4317,96,14,C,no,4 bedroom,1,100,370000
4318,96,15,A,no,4 bedroom,0,100,420000
4319,96,15,B,no,2 bedroom,0,100,420000
4320,96,15,C,no,4 bedroom,1,90,370000
4321,97,1,A,no,4 bedroom,0,100,420000
4322,97,1,B,no,3 bedroom,1,90,420000
4323,97,1,C,no,2 bedroom,0,90,470000
4324,97,2,A,no,3 bedroom,0,100,420000
4325,97,2,B,no,3 bedroom,1,110,420000
4326,97,2,C,no,2 bedroom,0,100,370000
4327,97,3,A,no,4 bedroom,0,110,470000
4328,97,3,B,no,4 bedroom,0,110,420000
4329,97,3,C,no,2 bedroom,1,100,470000
4330,97,4,A,no,3 bedroom,1,110,420000
4331,97,4,B,no,4 bedroom,0,110,370000
4332,97,4,C,no,2 bedroom,0,100,420000
4333,97,5,A,no,3 bedroom,1,90,470000
4334,97,5,B,no,2 bedroom,0,110,420000
4335,97,5,C,no,2 bedroom,0,110,470000
4336,97,6,A,no,2 bedroom,0,90,420000
4337,97,6,B,no,4 bedroom,0,90,470000
4338,97,6,C,no,3 bedroom,1,90,420000
4339,97,7,A,no,4 bedroom,0,90,370000
4340,97,7,B,no,3 bedroom,0,100,420000
4341,97,7,C,no,3 bedroom,1,100,470000
4342,97,8,A,no,4 bedroom,0,100,470000
4343,97,8,B,no,2 bedroom,1,90,420000
4344,97,8,C,no,2 bedroom,0,100,470000
4345,97,9,A,no,4 bedroom,1,100,370000
4346,97,9,B,no,4 bedroom,0,90,470000
4347,97,9,C,no,2 bedroom,0,110,370000
4348,97,10,A,no,2 bedroom,0,100,370000
4349,97,10,B,no,3 bedroom,1,110,470000
4350,97,10,C,no,2 bedroom,0,110,370000
4351,97,11,A,no,3 bedroom,1,100,370000
4352,97,11,B,no,2 bedroom,0,90,370000
4353,97,11,C,no,4 bedroom,0,90,420000
4354,97,12,A,no,2 bedroom,0,90,370000
4355,97,12,B,no,4 bedroom,0,100,370000
4356,97,12,C,no,3 bedroom,1,90,370000
4357,97,13,A,no,3 bedroom,1,90,470000
4358,97,13,B,no,4 bedroom,0,110,370000
4359,97,13,C,no,3 bedroom,0,100,470000
4360,97,14,A,no,3 bedroom,1,90,370000
4361,97,14,B,no,4 bedroom,0,110,470000
4362,97,14,C,no,4 bedroom,0,100,470000
4363,97,15,A,no,2 bedroom,1,110,420000
4364,97,15,B,no,4 bedroom,0,100,420000
4365,97,15,C,no,3 bedroom,0,110,470000
4366,98,1,A,yes,3 bedroom,1,90,420000
4367,98,1,B,yes,2 bedroom,0,90,470000
4368,98,1,C,yes,4 bedroom,0,100,370000
4369,98,2,A,yes,2 bedroom,0,90,370000
4370,98,2,B,yes,3 bedroom,1,110,470000
4371,98,2,C,yes,4 bedroom,0,100,470000
4372,98,3,A,yes,2 bedroom,0,100,470000
4373,98,3,B,yes,4 bedroom,1,110,370000
4374,98,3,C,yes,3 bedroom,0,110,370000
4375,98,4,A,yes,2 bedroom,0,100,470000
4376,98,4,B,yes,3 bedroom,1,110,470000
4377,98,4,C,yes,2 bedroom,0,100,420000
4378,98,5,A,yes,4 bedroom,0,110,470000
4379,98,5,B,yes,3 bedroom,0,100,470000
4380,98,5,C,yes,2 bedroom,1,110,470000
4381,98,6,A,yes,3 bedroom,1,110,370000
4382,98,6,B,yes,4 bedroom,0,90,470000
4383,98,6,C,yes,4 bedroom,0,100,470000
4384,98,7,A,yes,2 bedroom,1,100,420000
4385,98,7,B,yes,2 bedroom,0,90,420000
4386,98,7,C,yes,4 bedroom,0,110,420000
4387,98,8,A,yes,2 bedroom,0,90,420000
4388,98,8,B,yes,4 bedroom,1,90,370000
4389,98,8,C,yes,3 bedroom,0,90,470000
4390,98,9,A,yes,3 bedroom,0,110,420000
4391,98,9,B,yes,4 bedroom,1,110,420000
4392,98,9,C,yes,4 bedroom,0,90,420000
4393,98,10,A,yes,4 bedroom,0,110,470000
4394,98,10,B,yes,4 bedroom,0,90,420000
4395,98,10,C,yes,3 bedroom,1,90,420000
4396,98,11,A,yes,4 bedroom,0,100,370000
4397,98,11,B,yes,4 bedroom,0,90,370000
4398,98,11,C,yes,2 bedroom,1,110,470000
4399,98,12,A,yes,2 bedroom,0,90,470000
4400,98,12,B,yes,2 bedroom,1,110,370000
4401,98,12,C,yes,3 bedroom,0,110,420000
4402,98,13,A,yes,3 bedroom,1,100,420000
4403,98,13,B,yes,4 bedroom,0,110,370000
4404,98,13,C,yes,3 bedroom,0,90,370000
4405,98,14,A,yes,3 bedroom,0,90,470000
4406,98,14,B,yes,2 bedroom,0,110,370000
4407,98,14,C,yes,2 bedroom,1,100,370000
4408,98,15,A,yes,2 bedroom,0,90,370000
4409,98,15,B,yes,3 bedroom,0,100,370000
4410,98,15,C,yes,3 bedroom,1,100,370000
4411,99,1,A,no,4 bedroom,1,90,370000
4412,99,1,B,no,4 bedroom,0,100,370000
4413,99,1,C,no,4 bedroom,0,110,370000
4414,99,2,A,no,2 bedroom,1,90,420000
4415,99,2,B,no,4 bedroom,0,90,420000
4416,99,2,C,no,3 bedroom,0,110,470000
4417,99,3,A,no,4 bedroom,0,90,470000
4418,99,3,B,no,2 bedroom,1,90,470000
4419,99,3,C,no,2 bedroom,0,100,420000
4420,99,4,A,no,2 bedroom,1,110,420000
4421,99,4,B,no,2 bedroom,0,100,420000
4422,99,4,C,no,4 bedroom,0,110,420000
4423,99,5,A,no,3 bedroom,0,90,470000
4424,99,5,B,no,3 bedroom,1,110,370000
4425,99,5,C,no,3 bedroom,0,110,470000
4426,99,6,A,no,2 bedroom,0,110,420000
4427,99,6,B,no,2 bedroom,1,100,370000
4428,99,6,C,no,2 bedroom,0,90,370000
4429,99,7,A,no,3 bedroom,1,90,420000
4430,99,7,B,no,4 bedroom,0,110,420000
4431,99,7,C,no,3 bedroom,0,90,370000
4432,99,8,A,no,3 bedroom,1,90,370000
4433,99,8,B,no,2 bedroom,0,110,370000
4434,99,8,C,no,2 bedroom,0,100,470000
4435,99,9,A,no,3 bedroom,0,100,470000
4436,99,9,B,no,2 bedroom,0,110,370000
4437,99,9,C,no,2 bedroom,1,90,370000
4438,99,10,A,no,3 bedroom,0,100,470000
4439,99,10,B,no,2 bedroom,0,100,470000
4440,99,10,C,no,3 bedroom,1,100,420000
4441,99,11,A,no,2 bedroom,1,90,470000
4442,99,11,B,no,3 bedroom,0,110,420000
4443,99,11,C,no,4 bedroom,0,110,470000
4444,99,12,A,no,3 bedroom,1,100,370000
4445,99,12,B,no,4 bedroom,0,100,420000
4446,99,12,C,no,4 bedroom,0,110,470000
4447,99,13,A,no,2 bedroom,0,90,420000
4448,99,13,B,no,2 bedroom,0,110,470000
4449,99,13,C,no,2 bedroom,1,100,370000
4450,99,14,A,no,4 bedroom,0,100,420000
4451,99,14,B,no,3 bedroom,1,100,370000
4452,99,14,C,no,4 bedroom,0,110,370000
4453,99,15,A,no,4 bedroom,0,100,470000
4454,99,15,B,no,3 bedroom,0,110,420000
4455,99,15,C,no,4 bedroom,1,90,470000
4456,100,1,A,yes,3 bedroom,1,110,370000
4457,100,1,B,yes,2 bedroom,0,90,470000
4458,100,1,C,yes,3 bedroom,0,100,370000
4459,100,2,A,yes,3 bedroom,1,110,420000
4460,100,2,B,yes,2 bedroom,0,90,420000
4461,100,2,C,yes,2 bedroom,0,100,370000
4462,100,3,A,yes,4 bedroom,0,90,370000
4463,100,3,B,yes,4 bedroom,0,90,470000
4464,100,3,C,yes,4 bedroom,1,90,420000
4465,100,4,A,yes,3 bedroom,0,90,420000
4466,100,4,B,yes,2 bedroom,0,110,470000
4467,100,4,C,yes,3 bedroom,1,90,370000
4468,100,5,A,yes,2 bedroom,0,90,370000
4469,100,5,B,yes,2 bedroom,1,110,420000
4470,100,5,C,yes,4 bedroom,0,100,420000
4471,100,6,A,yes,2 bedroom,0,110,420000
4472,100,6,B,yes,2 bedroom,0,90,420000
4473,100,6,C,yes,4 bedroom,1,100,370000
4474,100,7,A,yes,2 bedroom,0,110,470000
4475,100,7,B,yes,3 bedroom,0,110,420000
4476,100,7,C,yes,2 bedroom,1,100,470000
4477,100,8,A,yes,3 bedroom,0,110,470000
4478,100,8,B,yes,4 bedroom,1,100,370000
4479,100,8,C,yes,4 bedroom,0,110,370000
4480,100,9,A,yes,4 bedroom,1,110,470000
4481,100,9,B,yes,2 bedroom,0,100,470000
4482,100,9,C,yes,3 bedroom,0,100,470000
4483,100,10,A,yes,4 bedroom,0,110,420000
4484,100,10,B,yes,3 bedroom,1,100,420000
4485,100,10,C,yes,2 bedroom,0,100,370000
4486,100,11,A,yes,3 bedroom,1,90,370000
4487,100,11,B,yes,3 bedroom,0,110,370000
4488,100,11,C,yes,4 bedroom,0,100,420000
4489,100,12,A,yes,4 bedroom,1,100,470000
4490,100,12,B,yes,2 bedroom,0,100,420000
4491,100,12,C,yes,4 bedroom,0,90,370000
4492,100,13,A,yes,3 bedroom,1,90,470000
4493,100,13,B,yes,4 bedroom,0,90,420000
4494,100,13,C,yes,3 bedroom,0,90,420000
4495,100,14,A,yes,2 bedroom,0,90,370000
4496,100,14,B,yes,2 bedroom,0,100,420000
4497,100,14,C,yes,3 bedroom,1,100,370000
4498,100,15,A,yes,4 bedroom,0,110,370000
4499,100,15,B,yes,2 bedroom,1,110,370000
4500,100,15,C,yes,4 bedroom,0,90,470000
4501,101,1,A,no,3 bedroom,0,110,420000
4502,101,1,B,no,2 bedroom,1,100,370000
4503,101,1,C,no,2 bedroom,0,110,470000
4504,101,2,A,no,3 bedroom,0,100,420000
4505,101,2,B,no,2 bedroom,0,100,420000
4506,101,2,C,no,3 bedroom,1,110,420000
4507,101,3,A,no,4 bedroom,0,110,470000
4508,101,3,B,no,3 bedroom,0,100,470000
4509,101,3,C,no,3 bedroom,1,110,370000
4510,101,4,A,no,3 bedroom,1,110,470000
4511,101,4,B,no,3 bedroom,0,90,420000
4512,101,4,C,no,2 bedroom,0,100,470000
4513,101,5,A,no,3 bedroom,0,110,470000
4514,101,5,B,no,3 bedroom,1,90,470000
4515,101,5,C,no,2 bedroom,0,100,370000
4516,101,6,A,no,2 bedroom,0,90,420000
4517,101,6,B,no,4 bedroom,1,100,420000
4518,101,6,C,no,4 bedroom,0,90,370000
4519,101,7,A,no,4 bedroom,0,90,420000
4520,101,7,B,no,3 bedroom,0,100,420000
4521,101,7,C,no,4 bedroom,1,110,370000
4522,101,8,A,no,3 bedroom,0,90,470000
4523,101,8,B,no,4 bedroom,0,110,470000
4524,101,8,C,no,4 bedroom,1,90,370000
4525,101,9,A,no,4 bedroom,0,110,420000
4526,101,9,B,no,4 bedroom,1,100,370000
4527,101,9,C,no,4 bedroom,0,100,420000
4528,101,10,A,no,3 bedroom,1,90,370000
